source_collection,doc_id,doc_timestamp,sample_index,node_id,sample_ts,uptime_ms,temp,hum,rain,batt_v,batt_i,solar_v,solar_i,samples,processed_at
node_data_0v3,node_1_1775450405,2026-04-06T04:39:14.000Z,2,node_1,2026-04-06T04:38:14.000Z,5444332,36.20665,41.915,0,13.56281,86.2681,0.910271,-0.057983,60,
node_data_0v3,node_1_1775450405,2026-04-06T04:39:14.000Z,3,node_1,2026-04-06T04:39:14.000Z,5504331,36.19833,40.65,0,13.55942,87.7299,0.9115,-0.060018,60,
node_data_0v3,node_1_1775450655,2026-04-06T04:44:14.000Z,0,node_1,2026-04-06T04:40:14.000Z,5564332,36.20332,41.06499,0,13.55686,89.17236,0.911521,-0.06307,60,
node_data_0v3,node_1_1775450655,2026-04-06T04:44:14.000Z,1,node_1,2026-04-06T04:41:14.000Z,5624332,36.22833,40.58166,0,13.55354,88.22733,0.911646,-0.062052,60,
node_data_0v3,node_1_1775450655,2026-04-06T04:44:14.000Z,2,node_1,2026-04-06T04:42:14.000Z,5684332,36.30168,41.94167,0,13.552,86.69739,0.912792,-0.059001,60,
node_data_0v3,node_1_1775450655,2026-04-06T04:44:14.000Z,3,node_1,2026-04-06T04:43:14.000Z,5744331,36.42334,42.16168,0,13.55017,84.27124,0.91325,-0.059001,60,
node_data_0v3,node_1_1775450655,2026-04-06T04:44:14.000Z,4,node_1,2026-04-06T04:44:14.000Z,5804332,36.485,42.00834,0,13.54764,85.93038,0.912521,-0.061035,60,
node_data_0v3,node_1_1775450715,2026-04-06T04:45:14.000Z,0,node_1,2026-04-06T04:45:14.000Z,5864332,36.47167,42.14833,0,13.54361,87.50814,0.912042,-0.061035,60,
node_data_0v3,node_1_1775451005,2026-04-06T04:49:14.000Z,0,node_1,2026-04-06T04:46:14.000Z,5924333,36.5,42.95001,0,13.54098,90.28523,0.911833,-0.061035,60,
node_data_0v3,node_1_1775451005,2026-04-06T04:49:14.000Z,1,node_1,2026-04-06T04:47:14.000Z,5984332,36.50666,43.28001,0,13.54048,83.87654,0.912208,-0.061035,60,
